step,weight:l:0:0:0, weight:l:0:1:0, weight:l:0:2:0, weight:l:0:3:0, bias:l:0:0, error
-0.26677,-0.168036,0.0585261,0.0287662
-0.340333,-0.107136,0.0794388,-0.0366803
-0.377413,-0.03117,0.0926582,-0.0562771
-0.372573,0.0488979,0.0887316,-0.0385677
-0.327535,0.118568,0.0691016,0.000412541
-0.250642,0.168625,0.0443012,0.0436534
-0.152752,0.198587,0.0235755,0.0785197
-0.0434014,0.212835,0.00870202,0.0992604
0.0701245,0.214594,-0.00471778,0.106361
0.181067,0.202338,-0.0230467,0.103746
0.280603,0.17023,-0.0496916,0.0955603
0.35667,0.113048,-0.0798511,0.0841758
0.396252,0.0337298,-0.0998403,0.0702438
0.39098,-0.0533015,-0.097324,0.0544756
0.341879,-0.129015,-0.0742018,0.0398948
0.258663,-0.181355,-0.0443704,0.0329918
0.154344,-0.209573,-0.0195565,0.0426691
0.0403667,-0.218887,-0.00154405,0.0769184
-0.0744383,-0.212906,0.0150937,0.138347
-0.181809,-0.19003,0.0367303,0.220471
-0.271548,-0.145297,0.0646101,0.306714
-0.331251,-0.0766656,0.0908711,0.373213
-0.349708,0.0084997,0.102066,0.395123
-0.322238,0.0938043,0.0911869,0.354662
-0.253406,0.162668,0.0648208,0.248185
-0.154566,0.206833,0.035232,0.0896107
-0.0390432,0.226218,0.00868125,-0.0914645
0.0806137,0.222623,-0.0168242,-0.256857
0.192163,0.195071,-0.0455917,-0.370204
0.28227,0.141214,-0.0764186,-0.407471
0.337349,0.0637994,-0.0989609,-0.364162
0.347854,-0.0243115,-0.100649,-0.256769
0.313124,-0.103998,-0.0798756,-0.117842
0.24194,-0.160614,-0.0483848,0.0138275
0.147964,-0.190598,-0.0195416,0.104792
0.0442438,-0.198652,0.00129405,0.136584
-0.0593324,-0.190921,0.0162216,0.110342
-0.155442,-0.170611,0.0297889,0.0450339
-0.237538,-0.137712,0.0447411,-0.0299225
-0.298753,-0.0916281,0.0596604,-0.0850675
-0.332518,-0.0346555,0.0694075,-0.100777
-0.334667,0.0264852,0.0691034,-0.0733743
-0.305342,0.0829046,0.0587121,-0.0156145
-0.249012,0.127872,0.0431593,0.0483422
-0.172511,0.15924,0.0279017,0.0915095
-0.0828056,0.178161,0.014964,0.0931332
0.0139161,0.185836,0.00242335,0.0451694
0.111496,0.180891,-0.0136267,-0.0458186
0.202225,0.159,-0.035965,-0.161644
0.275835,0.115508,-0.0625653,-0.278962
0.320573,0.0504343,-0.0848547,-0.376686
0.326851,-0.0278003,-0.0923814,-0.441737
0.291383,-0.104853,-0.0821768,-0.471253
0.218352,-0.168372,-0.061721,-0.470892
0.116533,-0.213694,-0.0409537,-0.450317
-0.00463162,-0.241977,-0.023122,-0.417925
-0.136378,-0.253315,-0.00256316,-0.377069
-0.268314,-0.240804,0.0309096,-0.32525
-0.384522,-0.191354,0.0811135,-0.256495
-0.462852,-0.0975114,0.131482,-0.165834
-0.482301,0.0266323,0.149758,-0.0539159
-0.435326,0.147159,0.12329,0.0702761
-0.332377,0.235355,0.0765118,0.189905
-0.192956,0.286535,0.0394355,0.284031
-0.0338836,0.312043,0.0183522,0.333449
0.13381,0.319243,-0.00204237,0.326616
0.298845,0.29877,-0.044338,0.263596
0.440811,0.22749,-0.117143,0.156668
0.528267,0.0929272,-0.1877,0.0273678
0.532801,-0.0772812,-0.197897,-0.0989781
0.450182,-0.226832,-0.140905,-0.199435
0.302745,-0.320644,-0.0716164,-0.258412
0.119812,-0.364995,-0.0288605,-0.270022
-0.0778921,-0.378966,-0.00279231,-0.237527
-0.275472,-0.361833,0.0416109,-0.170579
-0.450301,-0.286612,0.128797,-0.0816441
-0.564303,-0.130437,0.225008,0.0169283
-0.579265,0.07666,0.244159,0.114311
-0.487663,0.258622,0.168063,0.201026
-0.318731,0.367031,0.077532,0.268009
-0.110446,0.413452,0.0276318,0.306075
0.112423,0.42538,-0.000607546,0.3068
0.332654,0.399014,-0.0591246,0.265026
0.520717,0.295074,-0.176344,0.182303
0.627054,0.0910103,-0.285951,0.0697857
0.609595,-0.154854,-0.271039,-0.0510828
0.473579,-0.342357,-0.153737,-0.151218
0.264327,-0.434646,-0.0553429,-0.199898
0.024979,-0.464249,-0.0117193,-0.172829
-0.220007,-0.456289,0.0297511,-0.0599589
-0.44631,-0.384514,0.132854,0.129555
-0.607071,-0.201715,0.281265,0.367201
-0.643852,0.0705893,0.335627,0.610391
-0.536033,0.322399,0.234837,0.812043
-0.320342,0.475287,0.111521,0.931902
-0.0474122,0.548707,0.0548058,0.946348
0.25156,0.574658,0.00398732,0.853803
0.543244,0.503831,-0.164441,0.674154
0.750592,0.241335,-0.43023,0.442482
0.773937,-0.160312,-0.479677,0.199117
0.595342,-0.480914,-0.246631,-0.0208085
0.298132,-0.615567,-0.0584169,-0.195189
-0.0366581,-0.642559,-0.00273052,-0.317933
-0.370857,-0.609806,0.0769309,-0.39666
-0.657029,-0.437975,0.312339,-0.446393
-0.799159,-0.0683144,0.52511,-0.481836
-0.722877,0.337629,0.394531,-0.5111
-0.473529,0.565306,0.121263,-0.533053
-0.156526,0.614419,-0.0100062,-0.539011
0.162349,0.584764,-0.0571726,-0.517794
0.44961,0.48552,-0.167658,-0.461964
0.652733,0.255415,-0.353636,-0.372645
0.700781,-0.0821219,-0.411032,-0.260934
0.573895,-0.374223,-0.250708,-0.145235
0.330901,-0.51955,-0.0785199,-0.0454837
0.0435742,-0.556428,-0.00502449,0.0236134
-0.247647,-0.537211,0.0485552,0.0576997
-0.509685,-0.433718,0.185905,0.0642609
-0.681421,-0.188989,0.368515,0.0597783
