learning time, weight:l:0:0:0, weight:l:0:0:1, weight:l:0:1:0, weight:l:0:1:1, biasl:0:0, biasl:0:1, weight:l:1:0:0, weight:l:1:1:0, biasl:1:0, error
179, 0.0269998, 0.0446923, 0.0435135, 0.0618331, 0.0921447, 0.0862657, -0.00892392, 0.0251182, 0.0283284, 0.500171
180, 0.0277816, 0.0462065, 0.0435135, 0.0618331, 0.0929265, 0.0877799, 0.0365567, 0.0708514, 0.114181, 0.503661
181, 0.0277816, 0.0462065, 0.0435135, 0.0618331, 0.0932264, 0.0872705, -0.0127548, 0.0216609, 0.019934, 0.500076
182, 0.0291162, 0.0467974, 0.0448481, 0.062424, 0.094561, 0.0878614, -0.060678, -0.0269386, -0.0686423, 0.501661
183, 0.0291162, 0.0467974, 0.0448481, 0.062424, 0.0966887, 0.0892946, -0.103734, -0.0698573, -0.15087, 0.507348
184, 0.0291162, 0.0467974, 0.0448481, 0.062424, 0.0994039, 0.0913669, -0.143497, -0.109481, -0.226732, 0.516039
185, 0.0268697, 0.0454033, 0.0448481, 0.062424, 0.0971573, 0.0899728, -0.0903686, -0.0561121, -0.126882, 0.505224
186, 0.0268697, 0.0454033, 0.043916, 0.0623111, 0.0962252, 0.0898599, -0.0392625, -0.00475947, -0.031435, 0.500377
187, 0.0268697, 0.0454033, 0.043916, 0.0623111, 0.0980036, 0.0909039, -0.0838336, -0.0491955, -0.116488, 0.504373
188, 0.0268697, 0.0454033, 0.0431362, 0.0623549, 0.0972239, 0.0909477, -0.0330462, 0.00185831, -0.021633, 0.500183
189, 0.0271868, 0.0465004, 0.0431362, 0.0623549, 0.097541, 0.0920448, 0.0142846, 0.0494611, 0.067505, 0.501289
190, 0.0279935, 0.0465231, 0.043943, 0.0623776, 0.0983477, 0.0920675, -0.0354249, -0.000999659, -0.0242324, 0.500238
191, 0.0297306, 0.0475403, 0.0456801, 0.0633948, 0.100085, 0.0930846, -0.0818244, -0.0480496, -0.109766, 0.503998
192, 0.0297306, 0.0475403, 0.0449487, 0.0634636, 0.0993534, 0.0931534, -0.0310991, 0.00292754, -0.0151962, 0.500114
193, 0.0297306, 0.0475403, 0.0449487, 0.0634636, 0.100994, 0.0940597, -0.0763221, -0.0421622, -0.101365, 0.503381
194, 0.0297306, 0.0475403, 0.0449487, 0.0634636, 0.103347, 0.0957314, -0.118249, -0.0839514, -0.181192, 0.510341
